index,provinceEnglishName,province_confirmedCount,province_curedCount,province_deadCount,updateTime
881,Taiwan,382,91,6,2020/4/10
882,Hong Kong,989,309,4,2020/4/10
883,Shanghai,555,435,7,2020/4/10
884,Guangdong,1544,1434,8,2020/4/10
885,Hubei,67803,64236,3216,2020/4/10
886,Jiangsu,651,634,0,2020/4/10
887,Jiangxi,937,936,1,2020/4/10
888,Beijing,588,469,8,2020/4/10
889,Sichuan,560,546,3,2020/4/10
890,Heilongjiang,638,470,13,2020/4/10
891,Fujian,351,311,1,2020/4/10
892,Neimenggu,128,79,1,2020/4/10
893,Jilin,98,95,1,2020/4/10
894,Shanxi,168,134,0,2020/4/10
895,Liaoning,144,132,2,2020/4/9
896,Hong Kong,973,293,4,2020/4/9
897,Taiwan,380,67,5,2020/4/9
898,Shanghai,552,422,7,2020/4/9
899,Tianjin,182,152,3,2020/4/9
900,Neimenggu,126,79,1,2020/4/9
901,Gansu,139,135,2,2020/4/9
902,Zhejiang,1267,1235,1,2020/4/9
903,Hubei,67803,64187,3215,2020/4/9
904,Beijing,588,464,8,2020/4/9
905,Guangdong,1539,1423,8,2020/4/9
906,Anhui,991,984,6,2020/4/9
907,Hebei,327,313,6,2020/4/9
908,Heilongjiang,609,470,13,2020/4/9
909,Shandong,783,756,7,2020/4/9
910,Shanxi,166,134,0,2020/4/9
911,Fujian,351,308,1,2020/4/8
912,Jilin,98,93,1,2020/4/8
913,Macau,45,10,0,2020/4/8
914,Hong Kong,960,264,4,2020/4/8
915,Taiwan,379,61,5,2020/4/8
916,Shanghai,543,418,7,2020/4/8
917,Tianjin,180,152,3,2020/4/8
918,Gansu,139,133,2,2020/4/8
919,Shanxi,163,134,0,2020/4/8
920,Guangdong,1536,1411,8,2020/4/8
921,Zhejiang,1266,1232,1,2020/4/8
922,Beijing,588,455,8,2020/4/8
923,Shandong,783,755,7,2020/4/8
924,Heilongjiang,569,470,13,2020/4/8
925,Liaoning,144,131,2,2020/4/8
926,Hubei,67803,64142,3213,2020/4/8
927,Neimenggu,124,74,1,2020/4/8
928,Taiwan,376,57,5,2020/4/7
929,Hong Kong,935,216,4,2020/4/7
930,Shanghai,538,406,6,2020/4/7
931,Neimenggu,121,74,1,2020/4/7
932,Zhejiang,1265,1230,1,2020/4/7
933,Guangdong,1533,1401,8,2020/4/7
934,Hubei,67803,64073,3212,2020/4/7
935,Sichuan,560,541,3,2020/4/7
936,Beijing,587,448,8,2020/4/7
937,Fujian,351,305,1,2020/4/7
938,Shandong,781,755,7,2020/4/7
939,Liaoning,144,130,2,2020/4/7
940,Hebei,327,312,6,2020/4/7
941,Heilongjiang,544,469,13,2020/4/7
942,Tianjin,180,151,3,2020/4/7
943,Yunnan,184,173,2,2020/4/7
944,Hong Kong,914,216,4,2020/4/6
945,Taiwan,373,57,5,2020/4/6
946,Shanghai,536,389,6,2020/4/6
947,Gansu,139,132,2,2020/4/6
948,Hubei,67803,64014,3212,2020/4/6
949,Guangdong,1532,1395,8,2020/4/6
950,Zhejiang,1264,1230,1,2020/4/6
951,Beijing,587,443,8,2020/4/6
952,Fujian,350,305,1,2020/4/6
953,Sichuan,559,540,3,2020/4/6
954,Shaanxi,256,246,3,2020/4/6
955,Neimenggu,118,74,1,2020/4/6
956,Heilongjiang,524,469,13,2020/4/6
957,Shandong,780,755,7,2020/4/6
958,Liaoning,142,128,2,2020/4/6
959,Henan,1276,1252,22,2020/4/6
960,Taiwan,363,50,5,2020/4/5
961,Hong Kong,890,206,4,2020/4/5
962,Shanghai,531,383,6,2020/4/5
963,Macau,44,10,0,2020/4/5
964,Zhejiang,1263,1230,1,2020/4/5
965,Hubei,67803,63945,3210,2020/4/5
966,Fujian,350,303,1,2020/4/5
967,Shandong,779,755,7,2020/4/5
968,Guangdong,1524,1387,8,2020/4/5
969,Jiangsu,651,633,0,2020/4/5
970,Beijing,586,441,8,2020/4/5
971,Sichuan,558,539,3,2020/4/5
972,Liaoning,142,126,2,2020/4/5
973,Heilongjiang,504,469,13,2020/4/5
974,Hebei,327,310,6,2020/4/5
975,Shanxi,138,133,0,2020/4/5
976,Tianjin,180,144,3,2020/4/4
977,Taiwan,355,50,5,2020/4/4
978,Hong Kong,862,173,4,2020/4/4
979,Shanghai,529,356,6,2020/4/4
980,Gansu,138,131,2,2020/4/4
981,Shaanxi,256,245,3,2020/4/4
982,Guangdong,1516,1378,8,2020/4/4
983,Zhejiang,1262,1229,1,2020/4/4
984,Hubei,67803,63762,3207,2020/4/4
985,Fujian,350,301,1,2020/4/4
986,Sichuan,557,538,3,2020/4/4
987,Beijing,585,438,8,2020/4/4
988,Liaoning,141,125,2,2020/4/4
989,Shandong,778,755,7,2020/4/4
990,Heilongjiang,491,469,13,2020/4/4
